IGR323,Coriander,Weight
IGR324,Coriander leaves,Weight
IGR325,Coriander Seed,Weight
IGR326,Corn,Weight
IGR327,Corn chip,Weight
IGR328,Corn grits,Weight
IGR329,Corn Oil,Volume
IGR330,Corn salad,Weight
IGR331,Cornbread,Amount
IGR332,Cornflour,Weight
IGR333,Cornmeal,Weight
IGR334,Cornmint,Weight
IGR335,Cottage Cheese,Weight
IGR336,Cottonseed,Volume
IGR337,Courgette,Amount
IGR338,Couscous,Weight
IGR339,Crab,Weight
IGR340,Cranberries,Weight
IGR341,Cranberry,Amount
IGR342,Cranberry juice,Volume
IGR343,Crayfish,Weight
IGR344,Cream,Volume
IGR345,Cream Cheese,Weight
IGR346,Creme de cassis,Volume
IGR347,Creme fraiche,Volume
IGR348,Creosote,Volume
IGR349,Crispbread,Weight
IGR350,Crust,Volume
IGR351,Cucumber,Weight
IGR352,Cucurbita,Amount
IGR353,Cumin,Weight
IGR354,Cured Ham,Weight
IGR355,Currant,Amount
IGR356,Curry Leaf,Weight
IGR357,Cusk,Weight
IGR358,Custard,Volume
IGR359,Cuttlefish,Weight
IGR360,Dandelion,Weight
IGR361,Dates,Weight
IGR362,Deer,Weight
IGR363,Deerberry,Amount
IGR364,Delicata Squash,Amount
IGR365,Devilfish,Weight
IGR366,Dijon mustard,Volume
IGR367,Dill,Weight
IGR368,Dock,Weight
IGR369,Dolphin fish,Weight
IGR370,Domiati Cheese,Weight
IGR371,Double cream,Volume
IGR372,Drumstick Leaf,Weight
IGR373,Duck,Weight
IGR374,Dulce de leche,Volume
IGR375,Dumpling,Amount
IGR376,Durian,Amount
IGR377,Edamame bean,Weight
IGR378,Egg,Weight
IGR379,Egg roll,Weight
IGR380,Eggplant,Amount
IGR381,Elderberry,Amount
IGR382,Elk,Weight
IGR383,Elliott's blueberry,Amount
IGR384,Emmental Cheese,Weight
IGR385,Empanada,Amount
IGR386,Emu,Weight
IGR387,Enchilada,Amount
IGR388,Endive,Weight
IGR389,Enokitake,Weight
IGR390,Epazote,Weight
IGR391,Escarole,Weight
IGR392,Espresso,Volume
IGR393,Eucalyptus Oil,Volume
IGR394,European anchovy,Weight
IGR395,European chestnut,Weight
IGR396,European rabbit,Weight
IGR397,Evaporated milk,Volume
IGR398,Evening primrose,Amount
IGR399,Falafel,Amount
IGR400,Farro,Weight
IGR401,Fatty Fish,Weight
IGR402,Feijoa,Amount
IGR403,Fennel,Weight
IGR404,Fenugreek,Weight
IGR405,Fermented Tea,Volume
IGR406,Feta,Weight
IGR407,Feta Cheese,Weight
IGR408,Fig,Amount
IGR409,Filbert,Weight
IGR410,Fillet steak,Weight
IGR411,Filo pastry,Weight
IGR412,Fingerling Potato,Weight
IGR413,Finnish Whisky,Volume
IGR414,Fir,Weight
IGR415,Fireweed,Amount
IGR416,Fish,Weight
IGR417,Fish burger,Weight
IGR418,Fish Oil,Volume
IGR419,Flank,Weight
IGR420,Flatfish,Weight
IGR421,Flaxseed,Weight
IGR422,Florida pompano,Weight
IGR423,Flour,Weight
IGR424,Focaccia,Weight
IGR425,Foie gras,Weight
IGR426,Food Coloring,Volume
IGR427,Frankfurter Sausage,Weight
IGR428,French plantain,Amount
IGR429,French toast,Amount
IGR430,Freshwater drum,Weight
IGR431,Freshwater eel,Weight
IGR432,Fried Potato,Weight
IGR433,Fruit gum,Amount
IGR434,Fruit juice,Volume
IGR435,Fruit salad,Volume
IGR436,Frybread,Amount
IGR437,Fudge,Weight
IGR438,Gadiformes,Amount
IGR439,Garam masala,Weight
IGR440,Garcinia Indica,Amount
IGR441,Garden cress,Weight
IGR442,Garfish,Weight
IGR443,Garland chrysanthemum,Weight
IGR444,Garlic,Weight
IGR445,Gefilte fish,Weight
IGR446,Gelatin,Weight
IGR447,Gelatin dessert,Volume
IGR448,Geranium,Amount
IGR449,Ghee,Volume
IGR450,Ghost Pepper,Amount
IGR451,Giant butterbur,Weight
IGR452,Gin,Volume
IGR453,Ginger,Weight
IGR454,Ginkgo nuts,Weight
IGR455,Ginseng,Weight
IGR456,Glucose,Weight
IGR457,Goat,Weight
IGR458,Goat Cheese,Weight
IGR459,Goat Milk,Volume
IGR460,Gobo,Amount
IGR461,Goldenseal,Amount
IGR462,Goose,Weight
IGR463,Gouda Cheese,Weight
IGR464,Grains of Paradise,Weight
IGR465,Grape,Amount
IGR466,Grape Seed Oil,Volume
IGR467,Grapefruit,Amount
IGR468,Grapefruit juice,Volume
IGR469,Grapes,Amount
IGR470,Grapeseed Oil,Volume
IGR471,Grass carp,Weight
IGR472,Gravy,Volume
IGR473,Great Lakes Whitefish,Weight
IGR474,Greek yogurt,Volume
IGR475,Grenadine,Volume
IGR476,Grilled Cheese,Weight
IGR477,Grist,Volume
IGR478,Grouper,Weight
IGR479,Gruyere Cheese,Weight
IGR480,Guacamole,Amount
IGR481,Guava,Amount
IGR482,Guinea pig,Weight
IGR483,Gulf menhaden,Weight
IGR484,Gumbo,Volume
IGR485,Gumdrop,Amount
IGR486,Haddock,Weight
IGR487,Hake,Weight
IGR488,Halloumi Cheese,Weight
IGR489,Haloumi,Weight
IGR490,Halva,Amount
IGR491,Hamburger,Weight
IGR492,Hammerhead shark,Weight
IGR493,Hard-boiled egg,Weight
IGR494,Harissa,Weight
IGR495,Harvestfish,Weight
IGR496,Hazelnut,Weight
IGR497,Hearts of Palm,Weight
IGR498,Herring,Weight
IGR499,Hickory Nut,Weight
IGR500,Highland Coffee,Amount
IGR501,Himalayan salt,Weight
IGR502,Honey,Volume
IGR503,Honeycomb tripe,Weight
IGR504,Honeydew melon,Amount
IGR505,Honeysuckle,Amount
IGR506,Horseradish,Weight
IGR507,Hot chocolate,Volume
IGR508,Hot dog,Weight
IGR509,Hot Sauce,Volume
IGR510,Hungarian goulash,Volume
IGR511,Hunters sausage,Weight
IGR512,Hushpuppy,Amount
IGR513,Ice cream,Volume
IGR514,Iced Tea,Volume
IGR515,Iced-coffee,Volume
IGR516,Indian fig,Amount
IGR517,Indian Gooseberry,Amount
IGR518,Indian jujube,Amount
IGR519,Indian mustard,Weight
IGR520,Indian Rice,Weight
IGR521,Indian wine,Volume
IGR522,Indigo,Amount
IGR523,Ink,Volume
IGR524,Irish Coffee,Volume
IGR525,Irish moss,Amount
IGR526,Irish stew,Volume
IGR527,Irish Whiskey,Volume
IGR528,Italian parsley,Weight
IGR529,Jackfruit,Amount
IGR530,Jaggery,Amount
IGR531,Jalapeno Pepper,Amount
IGR532,Jambolan,Amount
IGR533,Jasmine rice,Weight
IGR534,Jerusalem artichoke,Weight
IGR535,Jicama,Amount
IGR536,Jock,Amount
IGR537,Juniper berry,Weight
IGR538,Kale,Weight
IGR539,Kamut,Weight
IGR540,Kava,Volume
IGR541,Keema,Weight
IGR542,Kernel Oil,Volume
IGR543,Ketjap manis,Volume
IGR544,Ketchup,Volume
IGR545,Kiwi,Amount
IGR546,Kiwifruit,Amount
IGR547,Kohlrabi,Weight
IGR548,Komatsuna,Weight
IGR549,Konjac,Amount
IGR550,Kudzu,Amount
IGR551,Kumquat,Amount
IGR552,Kuri squash,Amount
IGR553,Kuzu,Amount
IGR554,Lager,Volume
IGR555,Lamb,Weight
IGR556,Lamb curry,Weight
IGR557,Lamb rack,Weight
IGR558,Lamb Shank,Weight
IGR559,Lamb Stock,Volume
IGR560,Lamington,Amount
IGR561,Lard,Weight
IGR562,Larder beetles,Amount
IGR563,Lavandin,Amount
IGR564,Lavender,Amount
IGR565,Leavening agent,Volume
IGR566,Lebanese bread,Amount
IGR567,Lemon,Amount
IGR568,Lemon balm,Amount
IGR569,Lemon grass,Amount
IGR570,Lemon Juice,Volume
IGR571,Lemon peel,Amount
IGR572,Lemonade,Volume
IGR573,Lentil,Weight
IGR574,Lentils,Weight
IGR575,Lettuce,Weight
IGR576,Licorice,Amount
IGR577,Liege waffle,Amount
IGR578,Lilac,Amount
IGR579,Lime,Amount
IGR580,Lime Juice,Volume
IGR581,Ling,Weight
IGR582,Lingcod,Weight
IGR583,Lingonberry,Amount
IGR584,Linseed Oil,Volume
IGR585,Linzer torte,Amount
IGR586,Litchi,Amount
IGR587,Liver,Weight
IGR588,Liver Sausage,Weight
IGR589,Loaf,Amount
IGR590,Loaf Bread,Amount
IGR591,Loaf Cake,Amount
IGR592,Loaf of bread,Amount
IGR593,Longan,Amount
IGR594,Luffa,Amount
IGR595,Lutefisk,Weight
IGR596,Lychee,Amount
IGR597,Mace,Weight
IGR598,Mackerel,Weight
IGR599,Madrona,Weight
IGR600,Mahaleb,Weight
IGR601,Mahi-Mahi,Weight
IGR602,Mahi-Mahi Fish,Weight
IGR603,Maize,Weight
IGR604,Maitake,Weight
IGR605,Maldive fish,Weight
IGR606,Malt,Weight
IGR607,Mandarin orange,Amount
IGR608,Mandarine,Amount
IGR609,Mandolin,Amount
IGR610,Mandras,Amount
IGR611,Mango,Amount
IGR612,Mango Juice,Volume
IGR613,Mangosteen,Amount
IGR614,Mangrove Jack,Weight
IGR615,Manioc,Amount
IGR616,Maple Sugar,Weight
IGR617,Maple Syrup,Volume
IGR618,Maracuya,Amount
IGR619,Margarine,Volume
IGR620,Margarita,Volume
IGR621,Marinara Sauce,Volume
IGR622,Marjoram,Weight
IGR623,Marlin,Weight
IGR624,Marmalade,Volume
IGR625,Marow,Weight
IGR626,Marshmallow,Amount
IGR627,Martini,Volume
IGR628,Mascarpone,Weight
IGR629,Mason Jar,Volume
IGR630,Maté,Volume
IGR631,Mattak,Weight
IGR632,Mayonnaise,Volume
IGR633,McIntosh,Amount
IGR634,Meat,Weight
IGR635,Meatball,Weight
IGR636,Meatloaf,Weight
IGR637,Medlar,Amount
IGR638,Meerkat,Weight
IGR639,Melon,Amount
IGR640,Membrillo,Amount
IGR641,Merengue,Volume
IGR642,Merlot,Volume
IGR643,Methi,Weight
IGR644,Metwurst,Weight
IGR645,Milk,Volume
IGR646,Milkfish,Weight
IGR647,Milkshake,Volume
IGR648,Millet,Weight
IGR649,Mint,Weight
IGR650,Miracle fruit,Amount
IGR651,Miso,Weight
IGR652,Molasses,Volume
IGR653,Monkfish,Weight
IGR654,Monster,Weight
IGR655,Montasio,Weight
IGR656,Mooncake,Weight
IGR657,Moonfish,Weight
IGR658,Moonseed,Amount
IGR659,Moravian Spice Cookies,Weight
IGR660,Morel,Weight
IGR661,Moth bean,Amount
IGR662,Moth Orchid,Amount
IGR663,Moth Pea,Amount
IGR664,Moths,Amount
IGR665,Mousse,Volume
IGR666,Mullet,Weight
IGR667,Mulukhiyah,Weight
IGR668,Mung bean,Amount
IGR669,Muscle,Amount
IGR670,Must,Volume
IGR671,Mustard,Weight
IGR672,Mustard greens,Weight
IGR673,Mustard Oil,Volume
IGR674,Mustard seed,Weight
IGR675,Mutton,Weight
IGR676,Myrrh,Amount
IGR677,Nacho,Amount
IGR678,Nashi Pear,Amount
IGR679,Navajo frybread,Amount
IGR680,Navratan korma,Amount
IGR681,Neck,Amount
IGR682,Nectarine,Amount
IGR683,Nemophila,Amount
IGR684,New Mexican cuisine,Volume
IGR685,Nigella,Weight
IGR686,Nitro Cold Brew,Volume
IGR687,Nopal,Weight
IGR688,Nougat,Weight
IGR689,Nut,Weight
IGR690,Nutmeg,Weight
IGR691,Nuts,Weight
IGR692,Oat,Weight
IGR693,Oat flour,Weight
IGR694,Oat milk,Volume
IGR695,Oatmeal,Volume
IGR696,Oatmeal Cookie,Amount
IGR697,Oil,Volume
IGR698,Okra,Amount
IGR699,Old Fashioned,Volume
IGR700,Olive,Amount
IGR701,Olive Oil,Volume
IGR702,Olives,Amount
IGR703,Onion,Amount
IGR704,Onion powder,Weight
IGR705,Onions,Amount
IGR706,Opah,Weight
IGR707,Orange,Amount
IGR708,Orange Juice,Volume
IGR709,Orange peel,Amount
IGR710,Oranges,Amount
IGR711,Oregano,Weight
IGR712,Ostrich,Weight
IGR713,Ouzo,Volume
IGR714,Oxtail,Weight
IGR715,Oyster,Weight
IGR716,Oyster mushroom,Weight
IGR717,Oysters,Weight
IGR718,Palm sugar,Weight
IGR719,Palm syrup,Volume
IGR720,Pan dulce,Amount
IGR721,Panettone,Weight
IGR722,Panettone Bread,Amount
IGR723,Panini,Amount
IGR724,Papadum,Amount
IGR725,Papaya,Amount
IGR726,Papaya Juice,Volume
IGR727,Paprika,Weight
IGR728,Parfait,Volume
IGR729,Parmesan,Weight
IGR730,Parmesan Cheese,Weight
IGR731,Parsley,Weight
IGR732,Parsnip,Weight
IGR733,Passata,Volume
IGR734,Passionfruit,Amount
IGR735,Passionfruit Juice,Volume
IGR736,Pasta,Amount
IGR737,Pasta Sauce,Volume
IGR738,Paste,Volume
IGR739,Pastry,Amount
IGR740,Pastry cream,Volume
IGR741,Pastry shell,Volume
IGR742,Pastry, Volume,Volume
IGR743,Pate,Weight
IGR744,Pawpaw,Amount
IGR745,Peach,Amount
IGR746,Peach Juice,Volume
IGR747,Peanut,Weight
IGR748,Peanut Brittle,Amount
IGR749,Peanut Butter,Volume
IGR750,Peanuts,Weight
IGR751,Pear,Amount
IGR752,Pear Juice,Volume
IGR753,Pearl Barley,Weight
IGR754,Pecan,Weight
IGR755,Pecan Pie,Amount
IGR756,Pekoe tea,Volume
IGR757,Pelmeni,Amount
IGR758,Pepper,Weight
IGR759,Peppercorn,Weight
IGR760,Peppermint,Weight
IGR761,Peppermint Oil,Volume
IGR762,Perch,Weight
IGR763,Persian Lime,Amount
IGR764,Persimmon,Amount
IGR765,Petroleum Jelly,Volume
IGR766,Petunia,Amount
IGR767,Pho,Amount
IGR768,Pickles,Amount
IGR769,Pie,Amount
IGR770,Pie Crust,Amount
IGR771,Pilaf,Amount
IGR772,Pilchard,Weight
IGR773,Pine Nut,Weight
IGR774,Pineapple,Amount
IGR775,Pineapple Juice,Volume
IGR776,Pineberry,Amount
IGR777,Pink salmon,Weight
IGR778,Pistachio,Amount
IGR779,Pistachios,Amount
IGR780,Pita,Amount
IGR781,Pita bread,Amount
IGR782,Pitanga,Amount
IGR783,Pitta,Amount
IGR784,Pitted olive,Amount
IGR785,Pizza,Amount
IGR786,Plantain,Amount
IGR787,Pleuronectidae,Amount
IGR788,Plum,Amount
IGR789,Plum Brandy,Volume
IGR790,Plum tomato,Amount
IGR791,Plum tomatoes,Amount
IGR792,Plum Wine,Volume
IGR793,Plumcot,Amount
IGR794,Poblano,Amount
IGR795,Pod,Amount
IGR796,Polar bear,Weight
IGR797,Polenta,Amount
IGR798,Pollock,Weight
IGR799,Pomegranate,Amount
IGR800,Popcorn,Amount
IGR801,Poppy Seed,Weight
IGR802,Pork,Weight
IGR803,Pork chop,Weight
IGR804,Pork Loin,Weight
IGR805,Porridge,Amount
IGR806,Port Wine,Volume
IGR807,Pot pie,Amount
IGR808,Potato,Amount
IGR809,Potato bread,Amount
IGR810,Potato chip,Amount
IGR811,Potato gratin,Amount
IGR812,Potato puffs,Amount
IGR813,Potatoes,Amount
IGR814,Prairie turnip,Amount
IGR815,Prawn,Weight
IGR816,Prickly Pear,Amount
IGR817,Prosciutto,Weight
IGR818,Prosciutto ham,Weight
IGR819,Provolone,Weight
IGR820,Provolone Cheese,Weight
IGR821,Pudding,Amount
IGR822,Pummelo,Amount
IGR823,Pumpkin,Amount
IGR824,Pumpkinseed sunfish,Weight
IGR825,Pupusa,Amount
IGR826,Purple laver,Amount
IGR827,Purple mangosteen,Amount
IGR828,Purple Potato,Amount
IGR829,Purslane,Amount
IGR830,Quail,Amount
IGR831,Quesadilla,Amount
IGR832,Quince,Amount
IGR833,Quinoa,Amount
IGR834,Rabbit,Weight
IGR835,Raccoon,Weight
IGR836,Radicchio,Amount
IGR837,Radish,Amount
IGR838,Radishes,Amount
IGR839,Rainbow smelt,Amount
IGR840,Rainbow trout,Weight
IGR841,Raisin,Amount
IGR842,Raisin bread,Amount
IGR843,Raisins,Amount
IGR844,Rambutan,Amount
IGR845,Rapeseed oil,Volume
IGR846,Rapini,Amount
IGR847,Raspberries,Amount
IGR848,Raspberry,Amount
IGR849,Raspberry Brandy,Volume
IGR850,Ravioli,Amount
IGR851,Red algae,Amount
IGR852,Red Cabbage,Amount
IGR853,Red Currant,Amount
IGR854,Red king crab,Weight
IGR855,Red Onion,Amount
IGR856,Red pepper,Amount
IGR857,Red raspberry,Amount
IGR858,Red rice,Amount
IGR859,Red Sage,Amount
IGR860,Red Wine,Volume
IGR861,Red wine vinegar,Volume
IGR862,Redskin onion,Amount
IGR863,Relish,Amount
IGR864,Remoulade,Amount
IGR865,Rhubarb,Amount
IGR866,Rib,Amount
IGR867,Rice,Amount
IGR868,Rice bread,Amount
IGR869,Rice cake,Amount
IGR870,Rice Noodles,Amount
IGR871,Rice Vinegar,Volume
IGR872,Ricotta,Amount
IGR873,Ricotta Cheese,Amount
IGR874,Ringed seal,Weight
IGR875,Rock ptarmigan,Weight
IGR876,Rocket,Amount
IGR877,Rocket salad,Amount
IGR878,Roe,Weight
IGR879,Roibos Tea,Volume
IGR880,Roll,Amount
IGR881,Romaine Lettuce,Amount
IGR882,Romano Cheese,Amount
IGR883,Roquefort Cheese,Amount
IGR884,Rose,Amount
IGR885,Rose hip,Amount
IGR886,Rose Wine,Volume
IGR887,Roseapple,Amount
IGR888,Roselle,Amount
IGR889,Rosemary,Amount
IGR890,Rowal,Amount
IGR891,Rowanberry,Amount
IGR892,Rum,Volume
IGR893,Russet,Amount
IGR894,Russet Potato,Amount
IGR895,Russian Cheese,Amount
IGR896,Rutabaga,Amount
IGR897,Rye,Amount
IGR898,Rye Bread,Amount
IGR899,Sablefish,Weight
IGR900,Safflower,Amount
IGR901,Saffron,Weight
IGR902,Sage,Amount
IGR903,Sago palm,Amount
IGR904,Sake,Volume
IGR905,Salad,Amount
IGR906,Salad dressing,Volume
IGR907,Salami,Weight
IGR908,Salmon,Weight
IGR909,Salmon flake,Amount
IGR910,Salmonberry,Amount
